title,category,salary_usd,location,experience_level,employment_type,work_setting,skills,source
AI Developer,Machine Learning and AI,230000.0,United States,Senior,Full-time,In-person,,jobs_in_data
AI Architect,Machine Learning and AI,305100.0,United States,Senior,Full-time,Remote,,jobs_in_data
Data Science Manager,Data Science and Research,272400.0,United States,Executive,Full-time,In-person,,jobs_in_data
Business Intelligence Analyst,BI and Visualization,80750.0,Canada,Mid-level,Full-time,In-person,,jobs_in_data
Data Strategist,Data Architecture and Modeling,119636.0,United States,Senior,Full-time,Remote,,jobs_in_data
Machine Learning Engineer,Machine Learning and AI,92280.0,United Kingdom,Mid-level,Full-time,Remote,,jobs_in_data
Business Intelligence Specialist,BI and Visualization,259900.0,United States,Senior,Full-time,In-person,,jobs_in_data
Machine Learning Infrastructure Engineer,Machine Learning and AI,118118.0,United Kingdom,Senior,Full-time,Remote,,jobs_in_data
Data Quality Engineer,Data Quality and Operations,141600.0,United States,Senior,Full-time,In-person,,jobs_in_data
Director of Data Science,Data Science and Research,246080.0,United Kingdom,Executive,Full-time,Remote,,jobs_in_data
Business Data Analyst,Data Analysis,79976.0,Gibraltar,Senior,Full-time,Remote,,jobs_in_data
ML Engineer,Machine Learning and AI,114979.0,Australia,Senior,Full-time,Remote,,jobs_in_data
Data Engineer,Data Engineering,57223.0,France,Mid-level,Full-time,Remote,,jobs_in_data
Data Quality Analyst,Data Quality and Operations,65000.0,United States,Mid-level,Full-time,Remote,,jobs_in_data
Machine Learning Engineer,Machine Learning and AI,90000.0,Colombia,Senior,Full-time,In-person,,jobs_in_data
AI Developer,Machine Learning and AI,50000.0,Ukraine,Entry-level,Full-time,Remote,,jobs_in_data
Data Analyst,Data Analysis,46426.0,Slovenia,Mid-level,Full-time,In-person,,jobs_in_data
Decision Scientist,Data Science and Research,204500.0,United States,Mid-level,Full-time,In-person,,jobs_in_data
Financial Data Analyst,Data Analysis,56500.0,United States,Entry-level,Full-time,Hybrid,,jobs_in_data
AI Engineer,Machine Learning and AI,38868.0,Romania,Senior,Full-time,In-person,,jobs_in_data
Data Strategy Manager,Data Management and Strategy,250000.0,United States,Senior,Full-time,Remote,,jobs_in_data
Data Manager,Leadership and Management,73824.0,United Kingdom,Mid-level,Full-time,In-person,,jobs_in_data
Data Scientist,Data Science and Research,19434.0,Greece,Entry-level,Full-time,Remote,,jobs_in_data
Data Engineer,Data Engineering,131000.0,Colombia,Mid-level,Full-time,In-person,,jobs_in_data
Analytics Engineer,Leadership and Management,369120.0,United Kingdom,Mid-level,Full-time,In-person,,jobs_in_data
Computer Vision Engineer,Machine Learning and AI,194000.0,United States,Senior,Full-time,In-person,,jobs_in_data
Data Visualization Specialist,BI and Visualization,170200.0,United States,Senior,Full-time,In-person,,jobs_in_data
Insight Analyst,Data Analysis,53984.0,Portugal,Mid-level,Full-time,Remote,,jobs_in_data
Machine Learning Engineer,Machine Learning and AI,240000.0,Ukraine,Senior,Full-time,Remote,,jobs_in_data
Director of Data Science,Data Science and Research,353200.0,United States,Executive,Full-time,In-person,,jobs_in_data
Data Analyst,Data Analysis,48585.0,Portugal,Mid-level,Full-time,Remote,,jobs_in_data
Data Visualization Engineer,BI and Visualization,170200.0,United States,Senior,Full-time,In-person,,jobs_in_data
AI Engineer,Machine Learning and AI,369120.0,United Kingdom,Mid-level,Full-time,In-person,,jobs_in_data
Machine Learning Engineer,Machine Learning and AI,75577.0,Netherlands,Mid-level,Full-time,In-person,,jobs_in_data
Data Engineer,Data Engineering,18000.0,India,Entry-level,Full-time,Hybrid,,jobs_in_data
ETL Developer,Data Engineering,129100.0,United States,Senior,Full-time,In-person,,jobs_in_data
Data Scientist,Data Science and Research,78125.0,Latvia,Mid-level,Full-time,In-person,,jobs_in_data
Data Analytics Manager,Leadership and Management,125000.0,United States,Mid-level,Full-time,In-person,,jobs_in_data
Azure Data Engineer,Data Engineering,100000.0,Mauritius,Entry-level,Full-time,In-person,,jobs_in_data
Decision Scientist,Data Science and Research,172256.0,United Kingdom,Senior,Full-time,Remote,,jobs_in_data
Machine Learning Infrastructure Engineer,Machine Learning and AI,220000.0,United States,Senior,Full-time,Remote,,jobs_in_data
Data Analyst,Data Analysis,42107.0,Germany,Mid-level,Full-time,Hybrid,,jobs_in_data
Data Engineer,Data Engineering,43187.0,Poland,Mid-level,Full-time,Remote,,jobs_in_data
Data Developer,Leadership and Management,120681.0,United States,Mid-level,Full-time,Remote,,jobs_in_data
Principal Data Scientist,Data Science and Research,195000.0,United States,Senior,Full-time,Remote,,jobs_in_data
Data Science Lead,Data Science and Research,204500.0,United States,Senior,Full-time,In-person,,jobs_in_data
Business Data Analyst,Data Analysis,17000.0,Russia,Mid-level,Full-time,Remote,,jobs_in_data
Staff Data Analyst,Data Analysis,44753.0,Canada,Entry-level,Contract,Hybrid,,jobs_in_data
AI Engineer,Machine Learning and AI,35000.0,Germany,Entry-level,Full-time,Remote,,jobs_in_data
AI Developer,Machine Learning and AI,53984.0,Italy,Senior,Full-time,Remote,,jobs_in_data
Machine Learning Scientist,Machine Learning and AI,204500.0,Canada,Senior,Full-time,In-person,,jobs_in_data
Data Infrastructure Engineer,Data Engineering,300105.0,United States,Senior,Full-time,In-person,,jobs_in_data
Machine Learning Software Engineer,Machine Learning and AI,217600.0,United States,Mid-level,Full-time,In-person,,jobs_in_data
Machine Learning Scientist,Machine Learning and AI,210398.0,United Kingdom,Senior,Full-time,In-person,,jobs_in_data
Machine Learning Operations Engineer,Machine Learning and AI,60000.0,United States,Senior,Full-time,Remote,,jobs_in_data
AI Scientist,Machine Learning and AI,54000.0,South Korea,Mid-level,Full-time,In-person,,jobs_in_data
Head of Machine Learning,Machine Learning and AI,330000.0,United States,Executive,Full-time,In-person,,jobs_in_data
Head of Data,Leadership and Management,246080.0,United Kingdom,Executive,Full-time,In-person,,jobs_in_data
Data Analyst,Data Analysis,53120.0,Estonia,Mid-level,Full-time,In-person,,jobs_in_data
Data Scientist,Data Science and Research,34924.0,Poland,Entry-level,Full-time,In-person,,jobs_in_data
Data Architect,Data Architecture and Modeling,104584.0,United Kingdom,Senior,Full-time,In-person,,jobs_in_data
Research Engineer,Data Science and Research,86128.0,United Kingdom,Mid-level,Full-time,Remote,,jobs_in_data
Insight Analyst,Data Analysis,51676.0,United Kingdom,Mid-level,Full-time,In-person,,jobs_in_data
BI Developer,BI and Visualization,98432.0,United Kingdom,Senior,Full-time,In-person,,jobs_in_data
Applied Data Scientist,Data Science and Research,29691.0,Italy,Entry-level,Full-time,Hybrid,,jobs_in_data
AI Programmer,Machine Learning and AI,120000.0,France,Senior,Full-time,Remote,,jobs_in_data
Data Science Manager,Data Science and Research,107968.0,Czech Republic,Senior,Full-time,Hybrid,,jobs_in_data
AI Engineer,Machine Learning and AI,32811.0,Spain,Mid-level,Full-time,Remote,,jobs_in_data
Data Operations Analyst,Data Quality and Operations,154000.0,United States,Senior,Full-time,In-person,,jobs_in_data
Machine Learning Engineer,Machine Learning and AI,38868.0,Spain,Mid-level,Full-time,Remote,,jobs_in_data
AI Scientist,Machine Learning and AI,64781.0,Germany,Senior,Full-time,Hybrid,,jobs_in_data
MLOps Engineer,Machine Learning and AI,27568.0,Brazil,Mid-level,Full-time,Remote,,jobs_in_data
Data Integration Specialist,Data Management and Strategy,115000.0,Canada,Entry-level,Full-time,In-person,,jobs_in_data
Data Engineer,Data Engineering,72000.0,Brazil,Senior,Full-time,Remote,,jobs_in_data
Head of Data,Leadership and Management,115000.0,Brazil,Executive,Full-time,Remote,,jobs_in_data
Business Data Analyst,Data Analysis,35000.0,United States,Mid-level,Contract,Remote,,jobs_in_data
AI Engineer,Machine Learning and AI,300000.0,Qatar,Mid-level,Full-time,Remote,,jobs_in_data
Applied Machine Learning Scientist,Machine Learning and AI,97712.0,Netherlands,Mid-level,Contract,Remote,,jobs_in_data
AI Research Engineer,Data Science and Research,24940.0,Portugal,Entry-level,Full-time,Remote,,jobs_in_data
Data Scientist,Data Science and Research,25912.0,Italy,Mid-level,Full-time,Remote,,jobs_in_data
Research Analyst,Data Science and Research,53444.0,Spain,Senior,Full-time,Remote,,jobs_in_data
Research Analyst,Data Science and Research,56359.0,Italy,Senior,Full-time,Remote,,jobs_in_data
Research Engineer,Data Science and Research,16455.0,Russia,Entry-level,Full-time,Remote,,jobs_in_data
Data Analytics Lead,Leadership and Management,123040.0,United Kingdom,Mid-level,Full-time,In-person,,jobs_in_data
Data Operations Engineer,Data Quality and Operations,125000.0,United States,Senior,Full-time,In-person,,jobs_in_data
Machine Learning Manager,Machine Learning and AI,129562.0,United States,Senior,Full-time,Remote,,jobs_in_data
BI Data Analyst,Data Analysis,50000.0,Kenya,Entry-level,Full-time,Remote,,jobs_in_data
BI Data Analyst,Data Analysis,85000.0,United States,Entry-level,Full-time,Remote,,jobs_in_data
Lead Data Scientist,Data Science and Research,36000.0,Russia,Senior,Full-time,Remote,,jobs_in_data
Principal Machine Learning Engineer,Machine Learning and AI,160000.0,India,Senior,Full-time,Remote,,jobs_in_data
Principal Data Engineer,Data Engineering,91773.0,Spain,Senior,Full-time,Remote,,jobs_in_data
